iter	RMSE
0	0.3898535249
1	0.3845597207
2	0.3833930559
3	0.3775000517
4	0.3756936366
5	0.369960198
6	0.3681218985
7	0.3620609288
8	0.3591384786
9	0.3572002337
10	0.3534052442
11	0.3525499072
12	0.3485764359
13	0.3446243653
14	0.3397132432
15	0.3357792537
16	0.3347875565
17	0.3304959662
18	0.327882633
19	0.32638258
20	0.3231992842
21	0.3181818732
22	0.3149124959
23	0.3118685266
24	0.3092954604
25	0.3068309216
26	0.3021524768
27	0.299988311
28	0.2971214417
29	0.2927604665
30	0.2914247306
31	0.2902862972
32	0.2874461143
33	0.2850799459
34	0.2824092594
35	0.2804079076
36	0.2790111784
37	0.2765964832
38	0.272951682
39	0.270628236
40	0.2679468699
41	0.2663198607
42	0.2649808974
43	0.2632956446
44	0.26146385
45	0.2590181391
46	0.256336932
47	0.2536288325
48	0.2506558105
49	0.2476644302
50	0.2448313944
51	0.242783972
52	0.2401356832
53	0.2380162706
54	0.2358848777
55	0.2343723285
56	0.2331834933
57	0.2306355201
58	0.2292650487
59	0.2267693196
60	0.2247416013
61	0.2226524696
62	0.2210743428
63	0.2193688287
64	0.2184282086
65	0.2172088236
66	0.2156514517
67	0.2139748826
68	0.2129273689
69	0.2117960307
70	0.2102033423
71	0.2082638489
72	0.2063763965
73	0.2054151615
74	0.2036644868
75	0.2023818768
76	0.1999771864
77	0.1987175856
78	0.1978982695
79	0.1967369334
80	0.1958859864
81	0.1955445938
82	0.1941316755
83	0.1926406624
84	0.191735068
85	0.1905317506
86	0.1899612838
87	0.189310626
88	0.1878312098
89	0.1864839271
90	0.1849363304
91	0.1841375163
92	0.1826346747
93	0.1823193922
94	0.1812761203
95	0.1797260602
96	0.1789883977
97	0.1788261893
98	0.1781442787
99	0.1765316462
100	0.1753788241
101	0.175228329
102	0.1737037928
103	0.1729598482
104	0.1724501495
105	0.172095163
106	0.1711601015
107	0.1701007527
108	0.1695095696
109	0.1689299789
110	0.1685608577
111	0.167481736
112	0.1674288317
113	0.1667733693
114	0.1656249127
115	0.1651563306
116	0.1648775445
117	0.1642021789
118	0.1636562583
119	0.1632354307
120	0.1626053752
121	0.1621455531
122	0.1617282148
123	0.1615760365
124	0.1608945053
125	0.1608446281
126	0.1602667503
127	0.1598178036
128	0.1592854118
129	0.1589887513
130	0.1586223542
131	0.1582620636
132	0.1578464697
133	0.1574330118
134	0.1569359784
135	0.1566280921
136	0.1560078116
137	0.1553967315
138	0.1547775967
139	0.1540416322
140	0.153836678
141	0.1535324005
142	0.1533530473
143	0.1524941448
144	0.1520015351
145	0.1516988486
146	0.1511352272
147	0.1506479324
148	0.1502659855
149	0.1498703777
150	0.1496061969
151	0.1489970014
152	0.1486689131
153	0.1485314049
154	0.1482831288
155	0.148165994
156	0.1475835052
157	0.1474489827
158	0.147193653
159	0.1466472447
160	0.146372704
161	0.1459301837
162	0.1458425048
163	0.1457658008
164	0.1454515364
165	0.1451458216
166	0.1446497321
167	0.1442084623
168	0.1440714071
169	0.1438088569
170	0.1433145071
171	0.1431695596
172	0.1426506073
173	0.1425165112
174	0.1421786143
175	0.1419666175
176	0.1415843106
177	0.1413701549
178	0.1411402055
179	0.1410231432
180	0.1408343764
181	0.1404915432
182	0.1402661715
183	0.1399730967
184	0.1395872645
185	0.1393059107
186	0.1392317176
187	0.1390924299
188	0.1386744733
189	0.1382272316
190	0.1379314522
191	0.1377058647
192	0.1374622677
193	0.1370882301
194	0.1367309242
195	0.1365917858
196	0.1360606454
197	0.135551588
198	0.1353540663
199	0.1351402775
200	0.1349758899
201	0.134797963
202	0.1346825877
203	0.1343030241
204	0.1339401953
205	0.1337190593
206	0.1336622496
207	0.1335972523
208	0.1333555288
209	0.1331970036
210	0.1331015853
211	0.132905094
212	0.132765567
213	0.1326098687
214	0.1323413795
215	0.1320474868
216	0.1318428993
217	0.131785256
218	0.1316264689
219	0.1313787656
220	0.1312651551
221	0.1311100734
222	0.1309478652
223	0.1308636151
224	0.130719234
225	0.1304326313
226	0.1303985693
227	0.1299965528
228	0.1298451082
229	0.129732304
230	0.1294329211
231	0.1292924819
232	0.1291922271
233	0.1290681465
234	0.1288104655
235	0.1285852678
236	0.1285216253
237	0.1282487316
238	0.1281361821
239	0.1278138786
240	0.1277119332
241	0.1276123529
242	0.1274974324
243	0.1273765667
244	0.1272850472
245	0.1271584662
246	0.1270423624
247	0.1267775183
248	0.1267055465
249	0.1263698211
250	0.1262436359
251	0.1260945876
252	0.1258334258
253	0.1256980726
254	0.125623962
255	0.1253550951
256	0.1252748732
257	0.1252061434
258	0.1249776231
259	0.1247662695
260	0.1247237471
261	0.1245152173
262	0.1244487579
263	0.1243859008
264	0.1243168312
265	0.1239457284
266	0.1237562042
267	0.1236928098
268	0.123427526
269	0.123206981
270	0.1230426905
271	0.1227917493
272	0.1227508989
273	0.1225805734
274	0.1224430811
275	0.1223600091
276	0.1223259847
277	0.1221551143
278	0.1220472487
279	0.1218576074
280	0.121724028
281	0.1215818681
282	0.1213912258
283	0.1211972493
284	0.1209873297
285	0.1207813786
286	0.1205464104
287	0.1203591361
288	0.1201257102
289	0.119867445
290	0.1197512402
291	0.1195473424
292	0.1193567003
293	0.1192204828
294	0.1190972089
295	0.1189546062
296	0.1188795471
297	0.1186135149
298	0.1185104601
299	0.1183765397
300	0.1181450264
301	0.1178843501
302	0.1176085123
303	0.1173899544
304	0.1171396307
305	0.1168886977
306	0.1166172408
307	0.1164604677
308	0.1161410882
309	0.1158531384
310	0.1156446416
311	0.1154769043
312	0.1152979616
313	0.1151679179
314	0.1149958871
315	0.1147422697
316	0.1144876435
317	0.1142010297
318	0.1140117605
319	0.113853884
320	0.1136055778
321	0.1134965828
322	0.1132752193
323	0.1129813556
324	0.1127009432
325	0.1125292123
326	0.1123297481
327	0.1120717543
328	0.1118498069
329	0.1115866659
330	0.1114223581
331	0.1111927821
332	0.1109933407
333	0.1107739984
334	0.1105431175
335	0.1103345374
336	0.1101022495
337	0.1099233331
338	0.1097682023
339	0.1095682128
340	0.109308908
