iter	RMSE
0	0.3981315378
1	0.3968124749
2	0.3955073517
3	0.3943203312
4	0.392947447
5	0.3917270292
6	0.3904766737
7	0.3892609219
8	0.3881035477
9	0.3869806087
10	0.3858399806
11	0.3845436461
12	0.3833407714
13	0.3821731841
14	0.3809680204
15	0.3797185514
16	0.3785927182
17	0.3773698182
18	0.3762063994
19	0.3750148858
20	0.3738754139
21	0.3726728161
22	0.3716231839
23	0.3703712682
24	0.3691248626
25	0.3678925797
26	0.366743379
27	0.3656165134
28	0.3644488112
29	0.3632662304
30	0.3622074121
31	0.3610586127
32	0.3598454299
33	0.358784345
34	0.3576502947
35	0.3566034613
36	0.3554818315
37	0.3543632215
38	0.3532502066
39	0.3521986517
40	0.3510331583
41	0.3499713498
42	0.3489058703
43	0.3479247021
44	0.3469219383
45	0.3458559377
46	0.3447785557
47	0.3437128611
48	0.342645562
49	0.3415881494
50	0.3404319312
51	0.339387123
52	0.3383887824
53	0.3374723319
54	0.3365429345
55	0.3355204571
56	0.3345345742
57	0.3335130255
58	0.3324914733
59	0.331591775
60	0.3306291727
61	0.3296386032
62	0.3286864365
63	0.3277852632
64	0.3268179565
65	0.3259195807
66	0.3250542431
67	0.3241111534
68	0.3231324835
69	0.3221549619
70	0.3211885547
71	0.3202404049
72	0.319280865
73	0.3183853841
74	0.3174316071
75	0.3166043305
76	0.315712761
77	0.3148701189
78	0.3139265207
79	0.3130874916
80	0.3121279332
81	0.3112385045
82	0.3104114618
83	0.3095217921
84	0.3086914295
85	0.3077978758
86	0.3069643668
87	0.306152507
88	0.3054092435
89	0.3045527055
90	0.3036534777
91	0.3028595377
92	0.3020471698
93	0.3012081195
94	0.3003998671
95	0.2995425683
96	0.298708158
97	0.2978478767
98	0.297002131
99	0.2961648966
100	0.2953684002
101	0.2945308826
102	0.2937791726
103	0.2929075713
104	0.2921545742
105	0.2913019966
106	0.2905191791
107	0.2897197922
108	0.288910617
109	0.2881515757
110	0.2873485839
111	0.2865544098
112	0.285750974
113	0.2850070323
114	0.2842042139
115	0.2834567175
116	0.2826595078
117	0.281896251
118	0.2811708038
119	0.2804011831
120	0.2796840936
121	0.2789594653
122	0.2782540219
123	0.2775662809
124	0.2768127808
125	0.2761241581
126	0.2753851011
127	0.2747258914
128	0.2739916365
129	0.2732796577
130	0.2725752277
131	0.2718895765
132	0.2711742593
133	0.2704746306
134	0.2697091593
135	0.2690584511
136	0.2684289962
137	0.2677292029
138	0.2670930767
139	0.2664312413
140	0.2658599647
141	0.2652011113
142	0.2646113132
143	0.2640035771
144	0.2633524074
145	0.2626732096
146	0.261961087
147	0.2612539659
148	0.2606008926
149	0.2599743278
150	0.2593023991
151	0.2586356388
152	0.2579143894
153	0.2572763766
154	0.256627015
155	0.2559963974
156	0.2553607064
157	0.2546992397
158	0.2541006315
159	0.2535079611
160	0.2529430794
161	0.2523891917
162	0.2517630145
163	0.2511411551
164	0.2505827012
165	0.2500320294
166	0.249398793
167	0.2488074638
168	0.2481909931
169	0.2475869249
170	0.2470333726
171	0.2464914786
172	0.2459281672
173	0.2453574472
174	0.2448768626
175	0.2443308224
176	0.2438140004
177	0.2432248377
178	0.2426424677
179	0.2420663363
180	0.241555843
181	0.2409852424
182	0.2404484266
183	0.2398688637
184	0.2393159756
185	0.2387464933
186	0.2381867642
187	0.237646106
188	0.2371117557
189	0.2366148379
190	0.2361350237
191	0.2356173594
192	0.2350724718
193	0.2345425746
194	0.2340248951
195	0.2335466885
196	0.2329825363
197	0.2324391695
198	0.2319090676
199	0.2314920229
200	0.230961539
201	0.2304360098
202	0.2299147242
203	0.2294637144
204	0.2289512486
205	0.2284168271
206	0.2279084808
207	0.22742011
208	0.22698363
209	0.2265435141
210	0.2260238594
211	0.2255743886
212	0.2251209502
213	0.2246675795
214	0.2241685581
215	0.2236805513
216	0.22323579
217	0.2228082285
218	0.2223807083
219	0.2219312887
220	0.2215055581
221	0.2210935887
222	0.2206668145
223	0.2201955276
224	0.2197618272
225	0.2193266932
226	0.2188526476
227	0.21841176
228	0.2179258765
229	0.2175452583
230	0.2171389193
231	0.2167427856
232	0.2163449718
233	0.2159218446
234	0.2154658326
235	0.2150960323
236	0.2146789658
237	0.2142540619
238	0.2138517965
239	0.2133989162
240	0.2129525538
241	0.2125513487
242	0.2121445097
243	0.211753839
244	0.211380168
245	0.210945141
246	0.2105515727
247	0.2101415779
248	0.2097323514
249	0.2093374945
250	0.208955189
251	0.2085511689
252	0.2081849284
253	0.2078780942
