iter	Passed	Remaining
0	0	4046
1	1	3717
2	1	3571
3	2	3471
4	2	3419
5	3	3373
6	3	3363
7	4	3375
8	5	3370
9	5	3341
10	6	3331
11	6	3320
12	7	3305
13	7	3292
14	8	3288
15	8	3283
16	9	3276
17	9	3286
18	10	3287
19	11	3290
20	11	3290
21	12	3289
22	12	3298
23	13	3307
24	13	3317
25	14	3310
26	14	3303
27	15	3295
28	16	3306
29	16	3306
30	17	3303
31	17	3315
32	18	3318
33	18	3317
34	19	3314
35	19	3312
36	20	3310
37	21	3306
38	21	3301
39	22	3298
40	22	3294
41	23	3290
42	23	3289
43	24	3286
44	24	3284
45	25	3281
46	25	3279
47	26	3274
48	26	3273
49	27	3273
50	28	3270
51	28	3266
52	29	3264
53	29	3262
54	30	3262
55	30	3261
56	31	3260
57	31	3258
58	32	3257
59	32	3259
60	33	3257
61	33	3254
62	34	3251
63	35	3249
64	35	3247
65	36	3246
66	36	3245
67	37	3246
68	37	3247
69	38	3247
70	38	3245
71	39	3243
72	39	3243
73	40	3242
74	41	3241
75	41	3238
76	42	3236
77	42	3236
78	43	3234
79	43	3234
80	44	3235
81	44	3234
82	45	3232
83	45	3230
84	46	3229
85	46	3227
86	47	3225
87	47	3222
88	48	3222
89	49	3219
90	49	3217
91	50	3217
92	50	3217
93	51	3218
94	51	3216
95	52	3215
96	52	3214
97	53	3214
98	53	3214
99	54	3212
100	54	3210
101	55	3209
102	56	3208
103	56	3207
104	57	3207
105	57	3205
106	58	3205
107	58	3203
108	59	3203
109	59	3202
110	60	3201
111	60	3200
112	61	3199
113	61	3198
114	62	3196
115	62	3195
116	63	3194
117	64	3193
118	64	3192
119	65	3190
120	65	3190
121	66	3188
122	66	3187
123	67	3186
124	67	3184
125	68	3183
126	68	3181
127	69	3180
128	69	3180
129	70	3179
130	70	3178
131	71	3177
132	72	3177
133	72	3176
134	73	3175
135	73	3174
136	74	3173
137	74	3172
138	75	3171
139	75	3170
140	76	3170
141	76	3168
142	77	3169
143	77	3169
144	78	3168
145	79	3167
146	79	3166
147	80	3165
148	80	3164
149	81	3163
150	81	3162
151	82	3161
152	82	3160
153	83	3160
154	83	3159
155	84	3158
156	84	3158
157	85	3158
158	85	3158
159	86	3157
160	87	3156
161	87	3155
162	88	3153
163	88	3152
164	89	3151
165	89	3149
166	90	3149
167	90	3149
168	91	3149
169	91	3148
170	92	3147
171	92	3147
172	93	3146
173	93	3145
174	94	3144
175	94	3143
176	95	3142
177	96	3141
178	96	3140
179	97	3139
180	97	3140
181	98	3140
182	98	3140
183	99	3139
184	99	3138
185	100	3138
186	100	3138
187	101	3137
188	102	3137
189	102	3136
190	103	3135
191	103	3135
192	104	3134
193	104	3133
194	105	3133
195	105	3132
196	106	3132
197	106	3131
198	107	3130
199	107	3129
200	108	3128
201	108	3127
202	109	3126
203	110	3125
204	110	3124
205	111	3123
206	111	3123
207	112	3122
208	112	3121
209	113	3121
210	113	3122
211	114	3124
212	115	3125
213	115	3127
214	116	3126
215	116	3127
216	117	3126
217	117	3126
218	118	3125
219	118	3124
220	119	3124
221	120	3124
222	120	3125
223	121	3126
224	122	3140
225	122	3141
226	123	3141
227	124	3142
228	124	3142
229	125	3142
230	125	3141
231	126	3142
232	126	3142
233	127	3141
234	128	3140
235	128	3140
236	129	3141
237	129	3142
238	130	3142
239	131	3144
240	131	3145
241	132	3144
242	132	3143
243	133	3143
244	133	3142
245	134	3142
246	134	3142
247	135	3142
248	136	3142
249	136	3142
250	137	3143
251	137	3144
252	138	3145
253	139	3145
254	139	3145
255	140	3145
256	140	3147
257	141	3148
258	142	3148
259	142	3147
260	143	3147
261	143	3147
262	144	3147
263	144	3147
264	145	3145
265	145	3145
266	146	3144
267	146	3143
268	147	3143
269	148	3144
270	148	3145
271	149	3146
272	149	3145
273	150	3144
274	151	3144
275	151	3144
276	152	3144
277	152	3144
278	153	3143
279	153	3144
280	154	3144
281	155	3146
282	155	3147
283	156	3146
284	156	3146
285	157	3145
286	157	3144
287	158	3143
288	159	3143
289	159	3142
290	160	3141
291	160	3142
292	161	3141
293	161	3141
294	162	3140
295	162	3139
296	163	3138
297	164	3139
298	164	3140
299	165	3140
300	165	3139
301	166	3138
302	166	3138
303	167	3138
304	168	3139
305	168	3140
306	169	3139
307	169	3139
308	170	3138
309	170	3137
310	171	3137
311	172	3137
312	172	3136
313	173	3136
314	173	3136
315	174	3136
316	174	3136
317	175	3137
318	176	3137
